trade_date,symbol,manual_rank,tier,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,basket_ret5x_pct,day_pnl_rs,day_pnl_rs 1X,teacher_profitable,rank_weight,profit_weight,teacher_weight
2024-12-02,ADANIPOWER,2,GOLD-baseline,09:15,111.4,09:51,110.5,-0.81,TRAIL,1.96,9780,1956.0,0,0.9333333333333333,0.35,0.32666666666666666
2024-12-02,HSCL,3,GOLD,09:15,525.0,09:51,524.7,-0.06,TRAIL,1.96,9780,1956.0,0,0.8666666666666667,0.35,0.30333333333333334
2024-12-02,BDL,4,GOLD,09:15,1147.95,09:51,1163.15,1.32,TRAIL,1.96,9780,1956.0,1,0.8,1.165,0.932
2024-12-02,CAMS,6,GOLD-baseline,09:15,995.0,09:51,1018.0,2.31,TRAIL,1.96,9780,1956.0,1,0.6666666666666666,1.28875,0.8591666666666666
2024-12-02,ADANIENT,7,GOLD-baseline,09:15,2415.3,09:51,2400.0,-0.63,TRAIL,1.96,9780,1956.0,0,0.6,0.35,0.21
2024-12-02,RPOWER,8,GOLD,09:15,38.7,09:51,38.18,-1.34,TRAIL,1.96,9780,1956.0,0,0.5333333333333333,0.35,0.18666666666666665
2024-12-02,GRSE,10,GOLD,09:15,1669.0,09:51,1682.3,0.8,TRAIL,1.96,9780,1956.0,1,0.4,1.1,0.44000000000000006
2024-12-02,COCHINSHIP,11,GOLD,09:15,1631.5,09:51,1656.15,1.51,TRAIL,1.96,9780,1956.0,1,0.3333333333333333,1.18875,0.39625
2024-12-02,MAZDOCK,14,GOLD-baseline,09:15,2287.35,09:51,2274.85,-0.55,TRAIL,1.96,9780,1956.0,0,0.13333333333333333,0.35,0.04666666666666666
2024-12-02,SONATSOFTW,15,GOLD,09:15,631.6,09:51,643.6,1.9,TRAIL,1.96,9780,1956.0,1,0.06666666666666667,1.2375,0.0825
2024-12-03,GRSE,1,GOLD,09:15,1670.0,15:29,1702.5,1.95,EOD,12.49,62429,12485.8,1,1.0,1.24375,1.24375
2024-12-03,KPIL,2,GOLD-baseline,09:15,1142.0,15:29,1148.15,0.54,EOD,12.49,62429,12485.8,1,0.9333333333333333,1.0675,0.9963333333333333
2024-12-03,PNBHOUSING,3,ENTERPRISE-Dryup,09:15,884.0,15:29,884.0,0.0,EOD,12.49,62429,12485.8,0,0.8666666666666667,0.35,0.30333333333333334
2024-12-03,KPITTECH,5,GOLD,09:15,1374.85,15:29,1430.0,4.01,EOD,12.49,62429,12485.8,1,0.7333333333333333,1.50125,1.1009166666666665
2024-12-03,FINCABLES,6,GOLD,09:15,1159.4,15:29,1156.0,-0.29,EOD,12.49,62429,12485.8,0,0.6666666666666666,0.35,0.2333333333333333
2024-12-03,ZEEL,7,PREMIUM-Compression,09:15,128.41,15:29,135.02,5.15,EOD,12.49,62429,12485.8,1,0.6,1.64375,0.98625
2024-12-03,BLS,9,ENTERPRISE-Dryup,09:15,398.0,15:29,418.0,5.03,EOD,12.49,62429,12485.8,1,0.4666666666666667,1.6287500000000001,0.7600833333333334
2024-12-03,UCOBANK,10,PREMIUM-Compression,09:15,44.49,15:29,45.12,1.42,EOD,12.49,62429,12485.8,1,0.4,1.1775,0.47100000000000003
2024-12-03,HSCL,11,GOLD,09:15,536.15,15:29,539.95,0.71,EOD,12.49,62429,12485.8,1,0.3333333333333333,1.08875,0.36291666666666667
2024-12-03,TATAELXSI,12,ENTERPRISE-Dryup,09:15,6750.05,15:29,7090.0,5.04,EOD,12.49,62429,12485.8,1,0.26666666666666666,1.63,0.43466666666666665
2024-12-03,ANGELONE,13,ENTERPRISE-Dryup,09:15,294.1,15:29,307.5,4.56,EOD,12.49,62429,12485.8,1,0.2,1.5699999999999998,0.314
2024-12-04,FINCABLES,1,GOLD-baseline,09:15,1159.25,12:00,1198.75,3.41,TRAIL,2.34,11722,2344.4,1,1.0,1.42625,1.42625
2024-12-04,PNBHOUSING,2,ENTERPRISE-Dryup,09:15,899.0,12:00,908.55,1.06,TRAIL,2.34,11722,2344.4,1,0.9333333333333333,1.1325,1.0570000000000002
2024-12-04,KPIL,3,GOLD-baseline,09:15,1150.05,12:00,1144.45,-0.49,TRAIL,2.34,11722,2344.4,0,0.8666666666666667,0.35,0.30333333333333334
2024-12-04,MMTC,6,GOLD,09:15,80.49,12:00,80.46,-0.04,TRAIL,2.34,11722,2344.4,0,0.6666666666666666,0.35,0.2333333333333333
2024-12-04,FLUOROCHEM,7,GOLD-baseline,09:15,4080.0,12:00,4045.35,-0.85,TRAIL,2.34,11722,2344.4,0,0.6,0.35,0.21
2024-12-04,HSCL,9,ENTERPRISE-Dryup,09:15,542.7,12:00,544.5,0.33,TRAIL,2.34,11722,2344.4,1,0.4666666666666667,1.04125,0.48591666666666666
2024-12-04,RPOWER,14,ENTERPRISE-Dryup,09:15,41.09,12:00,41.09,0.0,TRAIL,2.34,11722,2344.4,0,0.13333333333333333,0.35,0.04666666666666666
2024-12-04,BLUESTARCO,15,ENTERPRISE-Dryup,09:15,1877.0,12:00,1890.65,0.73,TRAIL,2.34,11722,2344.4,1,0.06666666666666667,1.09125,0.07275000000000001
2024-12-05,INOXWIND,1,GOLD,09:15,201.58,15:29,201.57,0.0,EOD,15.31,76571,15314.2,0,1.0,0.35,0.35
2024-12-05,KPIL,2,GOLD-baseline,09:15,1180.95,15:29,1237.8,4.81,EOD,15.31,76571,15314.2,1,0.9333333333333333,1.6012499999999998,1.4945
2024-12-05,CASTROLIND,8,GOLD,09:15,202.85,15:29,212.71,4.86,EOD,15.31,76571,15314.2,1,0.5333333333333333,1.6075,0.8573333333333333
2024-12-05,MMTC,10,GOLD,09:15,80.8,15:29,80.36,-0.54,EOD,15.31,76571,15314.2,0,0.4,0.35,0.13999999999999999
2024-12-05,CESC,12,GOLD-baseline,09:15,174.24,15:29,180.48,3.58,EOD,15.31,76571,15314.2,1,0.26666666666666666,1.4475,0.386
2024-12-05,FLUOROCHEM,13,PREMIUM-Compression,09:15,4099.0,15:29,4263.0,4.0,EOD,15.31,76571,15314.2,1,0.2,1.5,0.30000000000000004
2024-12-05,IGL,14,GOLD,09:15,187.0,15:29,191.6,2.46,EOD,15.31,76571,15314.2,1,0.13333333333333333,1.3075,0.17433333333333334
2024-12-05,ANGELONE,15,GOLD-baseline,09:15,304.6,15:29,322.1,5.75,EOD,15.31,76571,15314.2,1,0.06666666666666667,1.71875,0.11458333333333333
2024-12-06,GRSE,1,GOLD,09:15,1775.0,15:29,1778.0,0.17,EOD,8.01,40025,8005.0,1,1.0,1.02125,1.02125
2024-12-06,MMTC,2,ENTERPRISE-Dryup,09:15,80.59,15:29,83.65,3.8,EOD,8.01,40025,8005.0,1,0.9333333333333333,1.475,1.3766666666666667
2024-12-06,INOXWIND,4,GOLD,09:15,201.31,15:29,204.34,1.51,EOD,8.01,40025,8005.0,1,0.8,1.18875,0.9510000000000001
2024-12-06,ZEEL,5,GOLD,09:15,139.86,15:29,140.75,0.64,EOD,8.01,40025,8005.0,1,0.7333333333333333,1.08,0.792
2024-12-06,J&KBANK,6,GOLD,09:15,106.6,15:29,106.5,-0.09,EOD,8.01,40025,8005.0,0,0.6666666666666666,0.35,0.2333333333333333
2024-12-06,IREDA,7,GOLD,09:15,220.4,15:29,221.19,0.36,EOD,8.01,40025,8005.0,1,0.6,1.045,0.6269999999999999
2024-12-06,MAZDOCK,10,GOLD,09:15,2435.0,15:29,2439.5,0.18,EOD,8.01,40025,8005.0,1,0.4,1.0225,0.40900000000000003
2024-12-06,BANKINDIA,12,GOLD,09:15,114.35,15:29,113.58,-0.67,EOD,8.01,40025,8005.0,0,0.26666666666666666,0.35,0.09333333333333332
2024-12-06,GABRIEL,13,GOLD,09:15,439.45,15:29,479.0,9.0,EOD,8.01,40025,8005.0,1,0.2,2.125,0.42500000000000004
2024-12-09,INOXWIND,1,ENTERPRISE-Dryup,09:15,205.18,15:29,205.23,0.02,EOD,-1.25,-6272,-1254.4,1,1.0,1.0025,1.0025
2024-12-09,ZEEL,2,GOLD,09:15,140.53,15:29,137.96,-1.83,EOD,-1.25,-6272,-1254.4,0,0.9333333333333333,0.35,0.32666666666666666
2024-12-09,IGL,3,PREMIUM-Compression,09:15,193.5,15:29,193.3,-0.1,EOD,-1.25,-6272,-1254.4,0,0.8666666666666667,0.35,0.30333333333333334
2024-12-09,GRSE,4,GOLD,09:15,1787.0,15:29,1755.7,-1.75,EOD,-1.25,-6272,-1254.4,0,0.8,0.35,0.27999999999999997
2024-12-09,J&KBANK,6,GOLD,09:15,106.9,15:29,105.01,-1.77,EOD,-1.25,-6272,-1254.4,0,0.6666666666666666,0.35,0.2333333333333333
2024-12-09,IREDA,8,GOLD,09:15,222.15,15:29,221.0,-0.52,EOD,-1.25,-6272,-1254.4,0,0.5333333333333333,0.35,0.18666666666666665
2024-12-09,BANKINDIA,9,GOLD,09:15,113.48,15:29,111.98,-1.32,EOD,-1.25,-6272,-1254.4,0,0.4666666666666667,0.35,0.16333333333333333
2024-12-09,CASTROLIND,10,GOLD,09:15,216.36,15:29,216.51,0.07,EOD,-1.25,-6272,-1254.4,1,0.4,1.00875,0.4035
2024-12-09,MAXHEALTH,12,GOLD,09:15,1062.05,15:29,1119.5,5.41,EOD,-1.25,-6272,-1254.4,1,0.26666666666666666,1.67625,0.447
2024-12-10,CLEAN,1,PREMIUM-Compression,09:15,1299.0,15:29,1397.45,7.58,EOD,11.94,59687,11937.4,1,1.0,1.9475,1.9475
2024-12-10,MAXHEALTH,7,GOLD,09:15,1117.0,15:29,1117.05,0.0,EOD,11.94,59687,11937.4,0,0.6,0.35,0.21
2024-12-10,RPOWER,8,GOLD,09:15,44.8,15:29,44.91,0.25,EOD,11.94,59687,11937.4,1,0.5333333333333333,1.03125,0.55
2024-12-10,KPRMILL,9,GOLD-baseline,09:15,1009.95,15:29,1024.0,1.39,EOD,11.94,59687,11937.4,1,0.4666666666666667,1.17375,0.5477500000000001
2024-12-10,SYRMA,10,ENTERPRISE-Dryup,09:15,557.7,15:29,580.0,4.0,EOD,11.94,59687,11937.4,1,0.4,1.5,0.6000000000000001
2024-12-10,CRISIL,12,ENTERPRISE-Dryup,09:15,5272.45,15:29,5433.85,3.06,EOD,11.94,59687,11937.4,1,0.26666666666666666,1.3825,0.3686666666666667
2024-12-10,TARIL,15,GOLD,09:15,515.0,15:29,519.0,0.78,EOD,11.94,59687,11937.4,1,0.06666666666666667,1.0975,0.07316666666666666
2024-12-11,PGEL,3,GOLD-baseline,09:15,860.0,11:45,843.0,-1.98,TRAIL,2.2,11021,2204.2,0,0.8666666666666667,0.35,0.30333333333333334
2024-12-11,POWERINDIA,4,ENTERPRISE-Dryup,09:15,12580.0,11:45,12584.35,0.03,TRAIL,2.2,11021,2204.2,1,0.8,1.00375,0.8029999999999999
2024-12-11,KPRMILL,5,GOLD-baseline,09:15,1029.9,11:45,1017.05,-1.25,TRAIL,2.2,11021,2204.2,0,0.7333333333333333,0.35,0.25666666666666665
2024-12-11,CHALET,7,GOLD-baseline,09:15,923.8,11:45,931.15,0.8,TRAIL,2.2,11021,2204.2,1,0.6,1.1,0.66
2024-12-11,MAXHEALTH,10,ENTERPRISE-Dryup,09:15,1110.05,11:45,1125.0,1.35,TRAIL,2.2,11021,2204.2,1,0.4,1.16875,0.4675
2024-12-11,TITAGARH,12,GOLD,09:15,1241.1,11:45,1322.1,6.53,TRAIL,2.2,11021,2204.2,1,0.26666666666666666,1.8162500000000001,0.48433333333333334
2024-12-11,RPOWER,13,GOLD,09:15,45.3,11:45,44.37,-2.05,TRAIL,2.2,11021,2204.2,0,0.2,0.35,0.06999999999999999
2024-12-12,PGEL,1,GOLD-baseline,09:15,847.0,15:29,855.0,0.94,EOD,9.24,46178,9235.6,1,1.0,1.1175,1.1175
2024-12-12,JBMA,2,GOLD-baseline,09:15,883.2,15:29,854.9,-3.2,EOD,9.24,46178,9235.6,0,0.9333333333333333,0.35,0.32666666666666666
2024-12-12,POWERINDIA,3,ENTERPRISE-Dryup,09:15,12735.0,15:29,13125.0,3.06,EOD,9.24,46178,9235.6,1,0.8666666666666667,1.3825,1.1981666666666668
2024-12-12,KPRMILL,4,GOLD,09:15,1024.0,15:29,1016.0,-0.78,EOD,9.24,46178,9235.6,0,0.8,0.35,0.27999999999999997
2024-12-12,CHALET,5,GOLD-baseline,09:15,927.1,15:29,1000.0,7.86,EOD,9.24,46178,9235.6,1,0.7333333333333333,1.9825,1.453833333333333
2024-12-12,RPOWER,8,GOLD,09:15,46.24,15:29,46.24,0.0,EOD,9.24,46178,9235.6,0,0.5333333333333333,0.35,0.18666666666666665
2024-12-12,BLS,9,GOLD,09:15,450.8,15:29,478.0,6.03,EOD,9.24,46178,9235.6,1,0.4666666666666667,1.7537500000000001,0.8184166666666668
2024-12-12,CRISIL,10,GOLD,09:15,5450.0,15:29,5530.0,1.47,EOD,9.24,46178,9235.6,1,0.4,1.18375,0.47350000000000003
2024-12-12,MAXHEALTH,12,GOLD-baseline,09:15,1132.0,15:29,1170.25,3.38,EOD,9.24,46178,9235.6,1,0.26666666666666666,1.4224999999999999,0.3793333333333333
2024-12-12,MANAPPURAM,15,ENTERPRISE-Dryup,09:15,178.0,15:29,178.45,0.25,EOD,9.24,46178,9235.6,1,0.06666666666666667,1.03125,0.06875
2024-12-13,PGEL,1,ENTERPRISE-Dryup,09:15,852.55,15:29,931.0,9.2,EOD,15.89,79470,15894.0,1,1.0,2.15,2.15
2024-12-13,TITAGARH,3,GOLD-baseline,09:15,1323.05,15:29,1306.0,-1.29,EOD,15.89,79470,15894.0,0,0.8666666666666667,0.35,0.30333333333333334
2024-12-13,JBMA,5,GOLD,09:15,851.0,15:29,884.0,3.88,EOD,15.89,79470,15894.0,1,0.7333333333333333,1.4849999999999999,1.0889999999999997
2024-12-13,LATENTVIEW,6,GOLD-baseline,09:15,508.05,15:29,507.0,-0.21,EOD,15.89,79470,15894.0,0,0.6666666666666666,0.35,0.2333333333333333
2024-12-13,GODFRYPHLP,9,GOLD,09:15,1990.0,15:29,2017.0,1.36,EOD,15.89,79470,15894.0,1,0.4666666666666667,1.17,0.5459999999999999
2024-12-13,KPRMILL,10,GOLD,09:15,1018.4,15:29,1084.35,6.48,EOD,15.89,79470,15894.0,1,0.4,1.81,0.7240000000000001
2024-12-13,DELHIVERY,12,GOLD-baseline,09:15,380.0,15:29,389.0,2.37,EOD,15.89,79470,15894.0,1,0.26666666666666666,1.2962500000000001,0.3456666666666667
2024-12-13,CRISIL,14,GOLD,09:15,5562.6,15:29,5890.0,5.89,EOD,15.89,79470,15894.0,1,0.13333333333333333,1.73625,0.2315
2024-12-13,SYRMA,15,GOLD-baseline,09:15,596.5,15:29,604.95,1.42,EOD,15.89,79470,15894.0,1,0.06666666666666667,1.1775,0.0785
2024-12-16,LATENTVIEW,2,GOLD,09:15,507.8,15:29,499.9,-1.56,EOD,0.31,1566,313.2,0,0.9333333333333333,0.35,0.32666666666666666
2024-12-16,TARIL,3,GOLD-baseline,09:15,570.0,15:29,576.0,1.05,EOD,0.31,1566,313.2,1,0.8666666666666667,1.13125,0.9804166666666668
2024-12-16,MANAPPURAM,4,GOLD-baseline,09:15,182.1,15:29,185.51,1.87,EOD,0.31,1566,313.2,1,0.8,1.2337500000000001,0.9870000000000001
2024-12-16,TITAGARH,5,GOLD,09:15,1308.6,15:29,1337.0,2.17,EOD,0.31,1566,313.2,1,0.7333333333333333,1.27125,0.9322499999999999
2024-12-16,BLS,6,GOLD-baseline,09:15,469.8,15:29,470.4,0.13,EOD,0.31,1566,313.2,1,0.6666666666666666,1.01625,0.6775
2024-12-16,POWERINDIA,10,ENTERPRISE-Dryup,09:15,13024.7,15:29,13205.0,1.38,EOD,0.31,1566,313.2,1,0.4,1.1724999999999999,0.469
2024-12-16,MAXHEALTH,13,GOLD-baseline,09:15,1180.05,15:29,1181.0,0.08,EOD,0.31,1566,313.2,1,0.2,1.01,0.202
2024-12-16,CHALET,14,GOLD-baseline,09:15,1007.55,15:29,973.0,-3.43,EOD,0.31,1566,313.2,0,0.13333333333333333,0.35,0.04666666666666666
2024-12-16,SYRMA,15,GOLD-baseline,09:15,613.0,15:29,608.9,-0.67,EOD,0.31,1566,313.2,0,0.06666666666666667,0.35,0.02333333333333333
2024-12-17,AEGISLOG,4,ENTERPRISE-Dryup,09:15,772.0,09:15,772.25,0.03,HARD_STOP,-3.36,-16807,-3361.4,1,0.8,1.00375,0.8029999999999999
2024-12-17,CARTRADE,7,ENTERPRISE-Dryup,09:15,1500.0,09:15,1494.55,-0.36,HARD_STOP,-3.36,-16807,-3361.4,0,0.6,0.35,0.21
2024-12-17,BLUEJET,10,GOLD-baseline,09:15,525.0,09:15,517.8,-1.37,HARD_STOP,-3.36,-16807,-3361.4,0,0.4,0.35,0.13999999999999999
2024-12-17,KFINTECH,11,ENTERPRISE-Dryup,09:15,1249.9,09:15,1248.6,-0.1,HARD_STOP,-3.36,-16807,-3361.4,0,0.3333333333333333,0.35,0.11666666666666665
2024-12-17,MANKIND,13,GOLD,09:15,2735.0,09:15,2725.35,-0.35,HARD_STOP,-3.36,-16807,-3361.4,0,0.2,0.35,0.06999999999999999
2024-12-17,POWERINDIA,14,ENTERPRISE-Dryup,09:15,13234.5,09:15,13185.35,-0.37,HARD_STOP,-3.36,-16807,-3361.4,0,0.13333333333333333,0.35,0.04666666666666666
2024-12-17,KPRMILL,15,GOLD-baseline,09:15,1096.75,09:15,1076.6,-1.84,HARD_STOP,-3.36,-16807,-3361.4,0,0.06666666666666667,0.35,0.02333333333333333
2024-12-18,TECHNOE,2,GOLD,09:15,1501.2,10:08,1499.35,-0.12,TRAIL,2.84,14187,2837.4,0,0.9333333333333333,0.35,0.32666666666666666
2024-12-18,KFINTECH,5,ENTERPRISE-Dryup,09:15,1243.0,10:08,1263.45,1.65,TRAIL,2.84,14187,2837.4,1,0.7333333333333333,1.20625,0.8845833333333333
2024-12-18,AEGISLOG,7,ENTERPRISE-Dryup,09:15,782.85,10:08,779.5,-0.43,TRAIL,2.84,14187,2837.4,0,0.6,0.35,0.21
2024-12-18,GICRE,8,GOLD,09:15,428.2,10:08,440.8,2.94,TRAIL,2.84,14187,2837.4,1,0.5333333333333333,1.3675,0.7293333333333333
2024-12-18,CARTRADE,9,ENTERPRISE-Dryup,09:15,1534.5,10:08,1561.95,1.79,TRAIL,2.84,14187,2837.4,1,0.4666666666666667,1.22375,0.5710833333333333
2024-12-18,KPRMILL,11,GOLD-baseline,09:15,1075.9,10:08,1085.4,0.88,TRAIL,2.84,14187,2837.4,1,0.3333333333333333,1.11,0.37
2024-12-18,HONASA,12,ENTERPRISE-Dryup,09:15,245.0,10:08,245.3,0.12,TRAIL,2.84,14187,2837.4,1,0.26666666666666666,1.015,0.2706666666666666
2024-12-18,POWERINDIA,13,ENTERPRISE-Dryup,09:15,13199.05,10:08,12950.0,-1.89,TRAIL,2.84,14187,2837.4,0,0.2,0.35,0.06999999999999999
