trade_date,symbol,tier,entry_time,entry_px,exit_time,exit_px,stock_ret_pct,exit_reason,basket_ret5x_pct,day_pnl_rs,day_pnl_rs 1X
2025-03-03,PATANJALI,GOLD-baseline,09:15,580.3,09:15,576.0,-0.74,HARD_STOP,-7.52,-37608,-7521.6
2025-03-03,CHOLAHLDNG,GOLD-baseline,09:15,1666.7,09:15,1623.75,-2.58,HARD_STOP,-7.52,-37608,-7521.6
2025-03-03,ABREL,GOLD-baseline,09:15,1882.0,09:15,1811.25,-3.76,HARD_STOP,-7.52,-37608,-7521.6
2025-03-03,PGEL,GOLD-baseline,09:15,798.8,09:15,791.4,-0.93,HARD_STOP,-7.52,-37608,-7521.6
2025-03-03,SHRIRAMFIN,GOLD-baseline,09:15,625.3,09:15,624.7,-0.1,HARD_STOP,-7.52,-37608,-7521.6
2025-03-03,TATAINVEST,GOLD-baseline,09:15,616.0,09:15,612.0,-0.65,HARD_STOP,-7.52,-37608,-7521.6
2025-03-04,SHYAMMETL,GOLD,09:15,698.5,15:29,723.25,3.54,EOD,34.44,172208,34441.6
2025-03-04,NAVA,PREMIUM-Pullback,09:15,382.0,15:29,383.7,0.45,EOD,34.44,172208,34441.6
2025-03-04,DCMSHRIRAM,GOLD,09:15,923.6,15:29,994.0,7.62,EOD,34.44,172208,34441.6
2025-03-04,CAPLIPOINT,PREMIUM-Pullback,09:15,1606.0,15:29,1809.3,12.66,EOD,34.44,172208,34441.6
2025-03-04,NEULANDLAB,GOLD-baseline,09:15,10201.7,15:29,11362.0,11.37,EOD,34.44,172208,34441.6
2025-03-04,DEEPAKFERT,PREMIUM-Pullback,09:15,924.0,15:29,975.05,5.52,EOD,34.44,172208,34441.6
2025-03-04,VIJAYA,GOLD-baseline,09:15,932.65,15:29,978.0,4.86,EOD,34.44,172208,34441.6
2025-03-04,JYOTICNC,GOLD-baseline,09:15,760.1,15:29,857.5,12.81,EOD,34.44,172208,34441.6
2025-03-04,INDIACEM,ENTERPRISE-Dryup,09:15,253.4,15:29,293.0,15.63,EOD,34.44,172208,34441.6
2025-03-04,JUBLINGREA,PREMIUM-Pullback,09:15,570.45,15:29,599.9,5.16,EOD,34.44,172208,34441.6
2025-03-04,JINDALSAW,GOLD,09:15,231.15,15:29,234.49,1.44,EOD,34.44,172208,34441.6
2025-03-04,TARIL,PREMIUM-Pullback,09:15,359.9,15:29,389.4,8.2,EOD,34.44,172208,34441.6
2025-03-04,WELCORP,PREMIUM-Pullback,09:15,685.0,15:29,709.0,3.5,EOD,34.44,172208,34441.6
2025-03-04,SAREGAMA,PREMIUM-Pullback,09:15,448.05,15:29,468.0,4.45,EOD,34.44,172208,34441.6
2025-03-04,ACUTAAS,GOLD-baseline,09:15,1058.6,15:29,1133.5,7.08,EOD,34.44,172208,34441.6
2025-03-05,NAVA,ENTERPRISE-Dryup,09:15,386.75,15:29,415.1,7.33,EOD,21.21,106031,21206.2
2025-03-05,TRITURBINE,ENTERPRISE-Dryup,09:15,486.85,15:29,504.3,3.58,EOD,21.21,106031,21206.2
2025-03-05,PCBL,GOLD,09:15,364.0,15:29,381.2,4.73,EOD,21.21,106031,21206.2
2025-03-05,LLOYDSME,GOLD,09:15,979.7,15:29,1033.95,5.54,EOD,21.21,106031,21206.2
2025-03-05,DATAPATTNS,GOLD-baseline,09:15,1412.35,15:29,1416.0,0.26,EOD,21.21,106031,21206.2
2025-03-06,JYOTICNC,GOLD-baseline,09:15,833.3,15:29,916.35,9.97,EOD,23.13,115633,23126.6
2025-03-06,DATAPATTNS,GOLD,09:15,1425.05,15:29,1416.0,-0.64,EOD,23.13,115633,23126.6
2025-03-07,PARADEEP,GOLD,09:15,93.9,15:29,94.8,0.96,EOD,21.59,107963,21592.6
2025-03-07,ANANTRAJ,ENTERPRISE-Dryup,09:15,464.2,15:29,505.0,8.79,EOD,21.59,107963,21592.6
2025-03-07,NEULANDLAB,GOLD,09:15,11775.0,15:29,12027.0,2.14,EOD,21.59,107963,21592.6
2025-03-07,DATAPATTNS,GOLD,09:15,1421.1,15:29,1642.0,15.54,EOD,21.59,107963,21592.6
2025-03-07,HSCL,GOLD,09:15,434.0,15:29,433.9,-0.02,EOD,21.59,107963,21592.6
2025-03-07,TITAGARH,GOLD,09:15,718.0,15:29,756.95,5.42,EOD,21.59,107963,21592.6
2025-03-07,SAREGAMA,ENTERPRISE-Dryup,09:15,475.95,15:29,489.0,2.74,EOD,21.59,107963,21592.6
2025-03-07,PCBL,ENTERPRISE-Dryup,09:15,384.0,15:29,390.0,1.56,EOD,21.59,107963,21592.6
2025-03-07,RPOWER,GOLD-baseline,09:15,35.3,15:29,36.08,2.21,EOD,21.59,107963,21592.6
2025-03-10,GRAVITA,GOLD,09:15,1691.0,09:17,1729.3,2.26,TRAIL,2.26,11300,2260.0
2025-03-10,CAPLIPOINT,ENTERPRISE-Dryup,09:15,1923.3,09:17,1916.1,-0.37,TRAIL,2.26,11300,2260.0
2025-03-10,ECLERX,GOLD,09:15,1382.6,09:17,1379.5,-0.22,TRAIL,2.26,11300,2260.0
2025-03-10,LTFOODS,GOLD,09:15,352.85,09:17,358.55,1.62,TRAIL,2.26,11300,2260.0
2025-03-10,HBLENGINE,ENTERPRISE-Dryup,09:15,454.65,09:17,454.85,0.04,TRAIL,2.26,11300,2260.0
2025-03-10,HSCL,GOLD,09:15,437.0,09:17,437.9,0.21,TRAIL,2.26,11300,2260.0
2025-03-10,JINDALSAW,GOLD,09:15,266.6,09:17,268.68,0.78,TRAIL,2.26,11300,2260.0
2025-03-10,SWANCORP,ENTERPRISE-Dryup,09:15,445.25,09:17,443.95,-0.29,TRAIL,2.26,11300,2260.0
2025-03-11,GODFRYPHLP,PREMIUM-Pullback,09:15,1672.0,15:29,1756.0,5.02,EOD,23.46,117280,23456.0
2025-03-11,KIMS,GOLD-baseline,09:15,513.45,15:29,525.45,2.34,EOD,23.46,117280,23456.0
2025-03-11,CHENNPETRO,GOLD,09:15,503.5,15:29,552.1,9.65,EOD,23.46,117280,23456.0
2025-03-11,ADANIGREEN,GOLD-baseline,09:15,819.25,15:29,833.2,1.7,EOD,23.46,117280,23456.0
2025-03-11,JYOTICNC,GOLD-baseline,09:15,944.0,15:29,956.05,1.28,EOD,23.46,117280,23456.0
2025-03-11,GRAPHITE,GOLD,09:15,398.0,15:29,427.4,7.39,EOD,23.46,117280,23456.0
2025-03-11,TATACOMM,ENTERPRISE-Dryup,09:15,1366.0,15:29,1488.0,8.93,EOD,23.46,117280,23456.0
2025-03-11,MRPL,GOLD,09:15,106.94,15:29,110.7,3.52,EOD,23.46,117280,23456.0
2025-03-11,KALYANKJIL,GOLD-baseline,09:15,404.5,15:29,421.9,4.3,EOD,23.46,117280,23456.0
2025-03-11,MCX,ENTERPRISE-Dryup,09:15,890.0,15:29,941.0,5.73,EOD,23.46,117280,23456.0
2025-03-11,TIINDIA,GOLD-baseline,09:15,2700.0,15:29,2886.0,6.89,EOD,23.46,117280,23456.0
2025-03-11,ZFCVINDIA,ENTERPRISE-Dryup,09:15,11251.0,15:29,11280.0,0.26,EOD,23.46,117280,23456.0
2025-03-12,JYOTICNC,GOLD-baseline,09:15,962.3,10:02,956.2,-0.63,TRAIL,2.38,11915,2383.0
2025-03-12,AAVAS,GOLD-baseline,09:15,1760.5,10:02,1781.0,1.16,TRAIL,2.38,11915,2383.0
2025-03-12,ADANIGREEN,ENTERPRISE-Dryup,09:15,834.4,10:02,831.85,-0.31,TRAIL,2.38,11915,2383.0
2025-03-12,MRPL,GOLD,09:15,110.96,10:02,110.12,-0.76,TRAIL,2.38,11915,2383.0
2025-03-12,DOMS,GOLD-baseline,09:15,2734.3,10:02,2821.65,3.19,TRAIL,2.38,11915,2383.0
2025-03-12,ZFCVINDIA,ENTERPRISE-Dryup,09:15,11256.5,10:02,11310.25,0.48,TRAIL,2.38,11915,2383.0
2025-03-13,CHENNPETRO,GOLD-baseline,09:15,553.9,09:16,546.85,-1.27,HARD_STOP,-4.12,-20614,-4122.8
2025-03-13,MRPL,GOLD,09:15,110.42,09:16,109.66,-0.69,HARD_STOP,-4.12,-20614,-4122.8
2025-03-13,GRAPHITE,GOLD,09:15,437.0,09:16,430.15,-1.57,HARD_STOP,-4.12,-20614,-4122.8
2025-03-13,TATACOMM,GOLD-baseline,09:15,1500.0,09:16,1498.55,-0.1,HARD_STOP,-4.12,-20614,-4122.8
2025-03-13,KALYANKJIL,GOLD,09:15,429.35,09:16,423.3,-1.41,HARD_STOP,-4.12,-20614,-4122.8
2025-03-13,MCX,GOLD,09:15,955.0,09:16,947.0,-0.84,HARD_STOP,-4.12,-20614,-4122.8
2025-03-13,TIINDIA,GOLD,09:15,2915.5,09:16,2901.1,-0.49,HARD_STOP,-4.12,-20614,-4122.8
2025-03-13,ZFCVINDIA,ENTERPRISE-Dryup,09:15,11398.0,09:16,11346.0,-0.46,HARD_STOP,-4.12,-20614,-4122.8
2025-03-13,ZENTEC,ENTERPRISE-Dryup,09:15,1225.0,09:16,1223.4,-0.13,HARD_STOP,-4.12,-20614,-4122.8
2025-03-17,SARDAEN,GOLD-baseline,09:15,545.1,09:15,537.45,-1.4,HARD_STOP,-3.43,-17139,-3427.8
2025-03-17,TATACOMM,GOLD,09:15,1510.45,09:15,1510.4,0.0,HARD_STOP,-3.43,-17139,-3427.8
2025-03-17,GRAPHITE,GOLD,09:15,443.0,09:15,442.8,-0.05,HARD_STOP,-3.43,-17139,-3427.8
2025-03-17,KALYANKJIL,GOLD,09:15,430.0,09:15,428.0,-0.47,HARD_STOP,-3.43,-17139,-3427.8
2025-03-17,MCX,GOLD,09:15,970.0,09:15,965.0,-0.52,HARD_STOP,-3.43,-17139,-3427.8
2025-03-17,ZENTEC,ENTERPRISE-Dryup,09:15,1224.0,09:15,1214.55,-0.77,HARD_STOP,-3.43,-17139,-3427.8
2025-03-17,TIINDIA,GOLD,09:15,2897.0,09:15,2860.6,-1.26,HARD_STOP,-3.43,-17139,-3427.8
2025-03-18,BSE,GOLD-baseline,09:15,1336.0,15:29,1383.5,3.56,EOD,13.51,67533,13506.6
2025-03-18,KFINTECH,ENTERPRISE-Dryup,09:15,925.0,15:29,939.0,1.51,EOD,13.51,67533,13506.6
2025-03-18,MAXHEALTH,ENTERPRISE-Dryup,09:15,1001.95,15:29,1017.5,1.55,EOD,13.51,67533,13506.6
2025-03-18,JPPOWER,GOLD,09:15,13.15,15:29,13.42,2.05,EOD,13.51,67533,13506.6
2025-03-18,TEJASNET,GOLD-baseline,09:15,660.0,15:29,672.5,1.89,EOD,13.51,67533,13506.6
2025-03-18,NIACL,ENTERPRISE-Dryup,09:15,143.0,15:29,146.39,2.37,EOD,13.51,67533,13506.6
2025-03-18,RPOWER,ENTERPRISE-Dryup,09:15,33.45,15:29,34.94,4.45,EOD,13.51,67533,13506.6
2025-03-18,SYRMA,ENTERPRISE-Dryup,09:15,422.5,15:29,443.0,4.85,EOD,13.51,67533,13506.6
2025-03-18,RHIM,ENTERPRISE-Dryup,09:15,389.0,15:29,400.0,2.83,EOD,13.51,67533,13506.6
2025-03-18,JWL,ENTERPRISE-Dryup,09:15,291.0,15:29,303.45,4.28,EOD,13.51,67533,13506.6
2025-03-18,UTIAMC,ENTERPRISE-Dryup,09:15,934.0,15:29,955.0,2.25,EOD,13.51,67533,13506.6
2025-03-18,DCMSHRIRAM,GOLD,09:15,989.95,15:29,1005.0,1.52,EOD,13.51,67533,13506.6
2025-03-20,BLS,GOLD-baseline,09:15,351.0,09:50,353.35,0.67,TRAIL,2.91,14542,2908.4
2025-03-20,MRPL,GOLD,09:15,114.81,09:50,115.48,0.58,TRAIL,2.91,14542,2908.4
2025-03-20,MANKIND,GOLD-baseline,09:15,2184.75,09:50,2212.6,1.27,TRAIL,2.91,14542,2908.4
2025-03-20,DCMSHRIRAM,ENTERPRISE-Dryup,09:15,1029.45,09:50,1029.15,-0.03,TRAIL,2.91,14542,2908.4
2025-03-21,JMFINANCIL,GOLD,09:15,92.42,15:29,97.88,5.91,EOD,33.89,169463,33892.6
2025-03-21,TEJASNET,GOLD-baseline,09:15,714.2,15:29,798.0,11.73,EOD,33.89,169463,33892.6
2025-03-21,PCBL,GOLD,09:15,395.0,15:29,426.5,7.97,EOD,33.89,169463,33892.6
2025-03-21,RAILTEL,GOLD,09:15,298.9,15:29,311.0,4.05,EOD,33.89,169463,33892.6
2025-03-21,RPOWER,GOLD,09:15,36.46,15:29,37.86,3.84,EOD,33.89,169463,33892.6
2025-03-21,BSE,GOLD-baseline,09:15,1496.5,15:29,1602.5,7.08,EOD,33.89,169463,33892.6
2025-03-21,ELECON,GOLD,09:15,425.0,15:29,440.8,3.72,EOD,33.89,169463,33892.6
2025-03-21,NIACL,GOLD,09:15,151.93,15:29,164.42,8.22,EOD,33.89,169463,33892.6
2025-03-21,GICRE,GOLD,09:15,398.5,15:29,432.75,8.59,EOD,33.89,169463,33892.6
2025-03-21,MANAPPURAM,GOLD-baseline,09:15,226.0,15:29,233.5,3.32,EOD,33.89,169463,33892.6
